published_date,title,text,url,fake
08-04-2020,"Ramaphosa Cares More For Vicious Farm Attackers Than For Their Victims! Farm Attacker & Kidnapper Released with 19,000 Prisoners!","Ramaphosa told Bloomberg News in New York in 2018 that there are no farm murders in South Africa – he has never withdrawn his statement. We should not be surprised then, that he cares more for farm attackers than for their victims! One of the 19,000 prisoners released by Ramaphosa, because he was concerned they would get the CCP-virus in prison, was involved in the brutal farm attack on Daleen van der Hoven (80) of Zastron on 3 July. She was beaten over the head with an iron implement, abducted and left for dead in the freezing mountains. As we reported, Daleen was alone in the farm house that night because her son was out on business, and the attackers who apparently knew she would be alone, beat her over the head with an iron implement, despite the fact that she is an 80 year old, harmless frail female and they were 4 attackers or is that hyenas? They robbed family jewelry, cash and 2 rifles and then abducted Tannie Daleen in her own vehicle. She was callously dropped in the mountains on the Lesotho border, at night in the bitter cold, without her glasses and shoes, clearly left to die. She manage to reach a hut and knocked on the door of the hut, and the people in the hut helped her and gave her blankets. They also called a farmer on the South African side of the border who came to fetch her. She was recently discharged from hospital after a long stay, but had a setback and had to go back to hospital after she could not do certain tasks. She was healthy before the attack. A procedure was done to drill a small hole in Tannie Daleen’s skull on Monday so that liquid could be drained. She is currently in the High Care unit of the hospital. We hope and pray this does not become a murder case, because the attacker would be long gone!",https://sa-news.com/ramaphosa-cares-more-for-vicious-farm-attackers-than-for-their-victims-farm-attacker-kidnapper-released-with-19000-prisoners/,True
18-10-2021,"Man appears for allegedly trafficking, kidnapping 50 Ethiopian nationals near Lenasia","Abdi Ahmed Kafecho, 49, appeared briefly in the Johannesburg Magistrate's Court on Monday. Kafecho faces charges of human trafficking, extortion and kidnapping. The accused claimed that he didn't understand English and asked for an Amharic interpreter. Kafecho's arrest led police to a house in Zakariyya Park near Lenasia.Some of the victims were found hiding inside the ceiling.The victims arrived earlier in the country to reunite with their relatives from Ethiopia.It is alleged that they were transported by Kafecho, who rerouted them to the rented house where they were kept against their will.Kafecho allegedly demanded a ransom from their families before he could release each victim.The case has been postponed until 25 October.",https://www.news24.com//news24/southafrica/news/man-appears-for-allegedly-trafficking-kidnapping-50-ethiopian-nationals-near-lenasia-20211018,False
10-08-2021,Saturday's weather: A fine and warm day for most parts of the country,"The expected UVB sunburn index is extreme.It will be hot in places in the Lowveld.It will be hot in places in the Lowveld.The wind along the coast will be light and variable, becoming moderate to fresh southerly to south-easterly from the afternoon.The wind along the coast will be moderate to fresh westerly to north-westerly along the south coast in the morning, otherwise moderate to fresh southerly to south-easterly.The expected UVB sunburn index is high.The wind along the coast will be moderate to fresh westerly to south-westerly, becoming strong in places.The eastern half will be cloudy south of the escarpment with isolated showers and thundershowers, otherwise partly cloudy and cool. It will become cloudy in the afternoon, with isolated showers and thundershowers.The wind along the coast will be moderate northerly to north-easterly north of Richards Bay at first, otherwise moderate to fresh southerly to south-westerly.The expected UVB sunburn index is extreme.",https://www.news24.com//news24/southafrica/news/saturdays-weather-a-fine-and-warm-day-for-most-parts-of-the-country-20211008,False
20-10-2021,"Two more ward candidates attacked in KwaZulu-Natal, says Cele after visiting Thulani Shangase's...","After the killing of EFF Msunduzi councillor candidate Thulani Shangase, Police Minister Bheki Cele raised concerns about the role of alcohol with regard to the crime rate.On Wednesday, Cele visited the areas affected by politically-related violence in the Pietermaritzburg area. Last Friday, an ANC eThekwini councillor candidate, Siyabonga Mkhize, was shot dead in Cato Crest, while Shangase was gunned down in Caluza on Sunday evening.Shangase was shot after returning from a campaign meeting in Dambula, Herwood.However, Cele said Shangase was killed while he was having a few drinks, which is why he added that alcohol issues were a huge problem.After a visit to Shangase's family, Cele said: He said the government should come together to ensure that issues of alcohol and entertainment were controlled, in order to prevent loss of life.Shangase's case has now been handed to a police political task team. At least six people have been killed in politically-related killings in KwaZulu-Natal.Cele said there were two other people who had been victims of political attacks in KwaDukuza, but had survived.""I know that the candidate of ward 36, KwaMashu hostel, is not staying at the hostel as we speak, because his life is under threat.""""Unfortunately, those that are high risk will be from [KZN], Gauteng, Tshwane, Western Cape and Eastern Cape,"" Cele said.He said the police were working with the SANDF to monitor the high risk areas.""But there will be not a single voting station that will be without a member of the South African Police Service,"" added Cele.",https://www.news24.com//news24/southafrica/news/two-more-ward-candidates-attacked-in-kwazulu-natal-says-cele-after-visiting-thulani-shangases-family-20211020,False
05-03-2020,Applications for Learnership Posts at BMW,"Requirements There are a couple of specific requirements if you want to be accepted into this BMW learnership. Minimum requirements You have to be a South Africa citizen and resident You must have a Standard 10/Grade 12 Certificate or you must have a Further Education and training Certificate NQF level 4 which is completed with a pass rate in Science and Mathematics. You have to be in possession of a driver’s license You have to be computer literate in Office Suite It would be advantageous if you have a tertiary technical qualification It would be useful is you have technical motor industry experience Job Specification You have to attend BMW SA Apprentice 1st level training course You have to make sure that proper administration of workshop documents and sections are gathered You have to take a charge for visual exterior vehicle inspection within the workshop You have to a responsibility for visual interior vehicle inspection within the workshop For those of you the applicants who have additional tertiary technical qualifications or technical motor industry experience, you will get the preference to be brought into the BMW to apply or via email: careers.bmwza@bmw.co.za",http://whatsappgroup.co.za/2020/03/05/applications-for-learnership-posts-at-bmw/,True
10-05-2021,Municipal Elections 2021: Vote for the ANC - Zuma urges voters,"Former president Jacob Zuma on Tuesday officially endorsed the ANC ahead of the November 1 municipal elections.In a video clip posted by the JG Zuma Foundation, Zuma told voters to cast their ballots for the ANC.“I’m concerned that a number of people have indicated that they will not vote. My message is that we should all go out and vote.“We should vote for the political party which liberated this country – the ANC,” Zuma said.It was the first time since his release from prison on medical parole last month that Zuma was making a public statement.",https://www.news24.com//witness/news/kzn/municipal-elections-2021-vote-for-the-anc-zuma-urges-voters-20211005,False
30-09-2021,"Senior public works staff moonlighting, have interests in companies - Minister Patricia De Lille","Several senior public servants have been moonlighting and others have links to companies that amount to a conflict of interest, a Public Service Commission (PSC) report has revealed.Minister of Public Works and Infrastructure Patricia de Lille received the report on financial disclosures by senior management in the department last week. The report aims to monitor compliance and prevent conflict of interests.The commission found that eight senior managers were engaged in other remunerative work outside of their employment in the department.""None of these senior management members (SMS) provided proof of approval to engage in other remunerative work. The PSC noted that the executive authority must consult with the SMS members who did not provide proof of their approval to engage in other remunerative work to determine if such approval was granted and if not, consider taking appropriate steps in terms of Section 31 of the Public Service Act,"" De Lille said in a statement.The commission also found that 22 other staffers have interests in companies. In most cases, the commission found, these interests pose a potential conflict of interest, De Lille said.The involvement of these SMS members in companies must be closely and tightly monitored to ensure that it does not lead to actual conflicts of interest, the PSC noted. ""The ethics officer in the department must periodically consult the Central Supplier Database (CSD) of the National Treasury to check if these companies do not appear on the CSD,"" the report stated.Registration of companies on the CSD presupposes the intention to conduct business with organs of state.The commission added that 16 public servants did not disclose all their registered interests (directorships, vehicles or immovable property).""This is in contravention of Regulation 19 of the PSR, 2016. The PSC stated that it is of the view that the minister and director-general should consult these SMS members to determine the reasons for not fully disclosing their registerable interests.""De Lille said that there was cause for concern about some of the employees' declarations.""I will be working closely with the acting director-general of the department to ensure that the department follows the necessary procedures and actions processes to clarify conflicts of interest and address any serious conflicts or concerns,"" she said.",https://www.news24.com//news24/southafrica/news/senior-public-works-staff-moonlighting-have-interests-in-companies-minister-patricia-de-lille-20210930,False
24-01-2017,Lundi Tyamara in ICU - his liver stopped working & he needs more prayers,"SUPERSTAR gospel singer Lundi Tyamara still needs prayers! The 38-year-old has been fighting for his life at Edenvale Hospital in Ekurhuleni since the festive season. Lundi is being treated for stomach TB and a liver condition. Speaking to Daily Sun, his manager Anele Hlazo said his health has not improved and he has been moved to high care. We have not lost hope and we pray for his speedy recovery. We ask his fans, supporters, followers, well wishers and the general public to keep praying for his healing as his condition remains worryingly critical. As believers, we know that through Gods intervention he will overcome. We are not giving up on Lundi. We believe that through Gods grace he will pull through. He is a fighter. A source close to Lundi has also urged the people of Mzansi to keep him in their prayers. On Monday he was sent to ICU after he took a left turn. It is so sad to see him in that state. We are asking and hoping for prayers as it really is not looking good at all for him. The source added that the doctors and staff at the hospital are trying their best. The Gauteng government has also stepped in and put together a strong health team for him. Earlier this month a rumour started on social media that the Mphefumlo Wami hit maker had allegedly died. His management had to crush the rumours and explain that he was in hospital. Even EFF leader Julius Malema took to Twitter to allay the fears and confirmed that Lundi was indeed alive. - Daily Sun",https://www.mzansistories.com/2017/01/lundi-tyamara-still-needs-prayers.html,True
10-07-2021,"JSC interviews: 'Money can't buy experience' - judge candidate, 65, when asked about age","The issue of the age of judges emerged during interviews for a seat on the Makhanda High Court on Thursday.Advocates Nicholas John Mullins and Olav Ronaansen faced questions from members of the Judicial Service Commission (JSC) on whether they were too old to be appointed judges.  Mullins and Ronaansen are both 65. Retirement age for judges is 75.  Mullins started his career as a criminal lawyer, defending political cases in the 1980s. He has had four acting stints on the high court bench. ""The one thing that money can't buy is experience. I believe I have sufficient experience to walk straight into the job, without trying to blow my own trumpet.  If I do not succeed in being elevated to the bench, I will continue working indefinitely anyway,"" Mullins said.  Ronaansen spent 40 weeks as an acting judge in the high court. On the matter of his age, he said: ""We have recently lost to retirement or elevation some judges with a great experience. There is [in] some instance an experience vacuum. I want to fill that vacuum. Experience, in my humble submission, is something that will be required. I am ready to give the 10 years that remain for me to do so.""He was praised for mentoring young, black advocates in the Eastern Cape. ""The benefits that it has brought to the junior bar … some of them have developed into astoundingly good counsel, and they are getting the work outside the mentoring system.""On Thursday, the commissioners interviewed 13 candidates for the high courts in Makhanda and Mthatha. There are three vacancies in Makhanda, and one in Mthatha.  The process will conclude on Friday when candidates for the high courts in Mpumalanga and the Western Cape will be interviewed.Another candidate, Sandiswa Mfenyana, said she had acted as a judge in the high court for 34 weeks. ""I found it to be a lot of work, but the key thing is that it is worthwhile. It is the time when I learnt the most in my entire practice."" Asked about running a successful law firm, Mfenyana said: ""Blood, sweat and tears are how I have kept going. My strategy in maintaining my practice is not to have a lot of instructions at a go.""A candidate that all commissioners seemed to like was advocate Thandi Victoria Norman.  She was part of the legal team that helped acting Chief Justice Raymond Zondo set up the State Capture Inquiry in 2018.  She left the inquiry in 2020. ""The commission was supposed to be six months. I had left my family in Durban. It became two and a half years, and tough for my family.""Norman added: ""I bring kindness to the judiciary. I think the things I have achieved in life are preceded by that.""She said young women needed to be mentored early in their careers, in order for the legal fraternity to evolve.Norman stressed that, for justice to be accessible to people, courts must be conducted in their languages. ""People need to understand what they are being confronted with, in a language they understand. When people understand the language, they know they can trust the courts. More has to be done to include people.""On why she wanted to leave KwaZulu-Natal for the Eastern Cape, she joked: ""I gave my youth to KZN. I think that, in my old age, I must give that contribution to the Eastern Cape. You need to grow the judiciary in a way that is accessible to the ordinary person.""JSC commissioner Dali Mpofu said: ""If she is selected, it will be a gain for the bench and a loss for the Bar."" ",https://www.news24.com//news24/southafrica/news/jsc-interviews-money-cant-buy-experience-judge-candidate-65-when-asked-about-age-20211007,False
13-06-2018,Watch Londie London n_aked picture that she claims is photoshoped,"Londie London n_aked & n_ude picture that she claims is photoshoped Londie London addresses the fake nude images of herself Singer and Instagram baddie Londie London took to Twitter to dispel rumors that a nude picture showing her v@g!na had been leaked and was making rounds on the internet. The image had been circulating for a number of hours, sending the timeline into a frenzy. SEE PICTURE H-E-R-E The picture in question displays Londie wearing a b_ra of some sort with no und3rwear on and an exposed v@g!na. Source:zaleb.com",https://www.mzansistories.com/2018/06/see-londie-london-vaginal-picture-that.html,True
10-08-2021,Western Cape transport department sounds alarm over extortion in taxi industry,"The Western Cape transport department on Thursday called the SA National
Taxi Council (Santaco) to an urgent meeting regarding extortion in some sectors
of the taxi industry.The province's Transport MEC Daylin Mitchell said: Mitchell said that, because it was not within his mandate to investigate
crime, the department would support the police in bringing the perpetrators to
book, so that commuters were transported safely.""These criminal acts must be condemned and the leaders of the
minibus taxi industry have a responsibility to ensure that their members
operate within the law and in accordance with their constitution and signed
code of conduct.""He warned that, in terms of the National Land Transport Act and
supporting provincial laws, the provincial registrar may de-register
associations or members, and the provincial regulatory entity may withdraw
operating licences from people convicted of extortion or other serious crimes.Santaco's secretary, Gershon Geyer, was quoted as saying: ""As
Santaco, we cannot condone the behaviour of certain individuals who are
impounding vehicles in the taxi industry.""Extortion can be reported on 086 001 0111 – and Mitchell said police
stations had standard operating procedures for reporting this crime.This is the latest blow to the taxi industry, which is still dealing
with the closure of the B97 route between Paarl and Bellville after a route
dispute played out in the form of shootings across Cape Town.The most recent shooting at Joe Slovo taxi rank in Cape Town left four
people dead, and one injured.The Cape Town Magistrate's Court heard, during the bail application of
murder-accused Mbongeni Songo, that the shooting was preceded by taxis being
stopped and money taken from taxi drivers.",https://www.news24.com//news24/southafrica/news/western-cape-transport-department-sounds-alarm-over-extortion-in-taxi-industry-20211008,False
15-10-2021,Wits extends deadline for comments on proposed compulsory Covid-19 vaccinations,"The deadline for comments on the Wits University's proposed compulsory vaccination policy has been extended by a week. Spokesperson Shiron Patel said the deadline was extended to Friday 22 October, and that more than 300 comments had been received so far, mostly in favour of the policy.""There are also meetings taking place with various constituencies, including other student groupings, residences, organised labour, professional and academic staff, administrative staff, suppliers and retailers, etc,"" Patel said. ""Only once these meetings are completed and all inputs are received, will the policy framework be finalised. It will serve at various university committees and then at Senate and Council before the end of the year.""Private tests cost between R800 and R1 000, excluding the cost a doctor's referral, at the country's two major pathology laboratories. Patel said they had not received a formal response from the SRC, aside from media reports, but management would consider their input. An extract of the proposed policy states that:Staff and students can object to compulsory vaccination, citing specific constitutional grounds, but will have to: ",https://www.news24.com//news24/southafrica/news/wits-extends-deadline-for-comments-on-proposed-compulsory-covid-19-vaccinations-20211015,False
